,dprst_flow,hru_id_reg,hru_elev,hru_area,covden_win,dprst_area,sro_to_dpr,rad_trncf,covden_sum,hru_id_nat,hru_y,tmax_adj,hru_x,dprst_seep,soil_rechr,hru_deplcr,region,tmin_adj,hru_id,fastcoef_l,felev,dprst_se_1,jh_coef_hr,gwflow_coe,hru_percen,hru_aspect,snarea_thr,soil_moist,slowcoef_l,soil_type,srain_intc,snow_intcp,hru_lat,soil2gw_ma,flulc,wrain_intc,fflux,cov_type,hru_slope
61,0.012302077944229,6851.0,1544.0,65.59065800203972,0.019751948588845,0.0,0.0,0.898223290442684,0.117705478668213,62434.0,2559611.196494432,1.0,-1165800.030875178,0.304513091287171,2.10393500328064,1,10U,1.0,6851,0.012302077944229,1.0,0.304513091287171,17.020445097225,0.006151038972116,0.008801369667053,131.64910426029397,19.455381200000005,2.244657516479492,0.006151038972116,2,0.03140410900116,0.034041094779968,45.199976363000076,0.100000372417427,1.0,0.030273971557617,1.0102739726,2,0.087616175413132
62,0.010048211769226,6857.0,2334.0,19844.9456956527,0.287894093284804,12.008217405755161,0.011492811780331,0.331222886625526,0.43632511138916,62440.0,2556844.480049912,1.0,-1175697.1644458305,0.307310439861688,1.71944785118103,1,10U,1.0,6857,0.010048211769226,1.0,0.307310439861688,14.428581497225,0.005024105884613,0.00029201824218,123.60472637425032,32.4146992,2.313492774963379,0.005024105884613,2,0.046445355415344,0.072151589393616,45.16145226500004,0.100003129211129,1.0,0.046276149749756,0.999899149494,3,0.273080259561539
63,0.010025505754248,6861.0,2276.0,24457.056631836982,0.284903959251519,0.0,0.0,0.328445474252041,0.436159477233887,62444.0,2554691.5693043433,0.0,-1155533.6657653116,0.303048112461682,1.581142425537109,1,10U,0.0,6861,0.010025505754248,1.0,0.303048112461682,14.618870217225,0.005012752877124,0.001604989916086,249.6488712367734,31.463255599999997,2.154153108596802,0.005012752877124,2,0.044806966781616,0.071329765319824,45.17064027300006,0.100000348617305,1.0,0.044688768386841,0.999909076031,3,0.370019823312759
64,0.010026130888725,6927.0,2447.0,55023.81506699556,0.552708498310989,6.268864249241759,0.042640045267157,0.186517455647932,0.648539352416992,62510.0,2558782.147630917,0.0,-1136262.449737899,0.304787269417353,1.490201950073242,1,10U,0.0,6927,0.010026130888725,1.0,0.304787269417353,14.057846577225,0.005013065444363,0.000105326976627,26.11834058544599,34.2683738,2.285904884338379,0.005013065444363,2,0.048364357948303,0.087801952362061,45.23359339600006,0.100002179598613,1.0,0.048342776298523,0.999975749737,3,0.462961614131927
65,0.010085877354735,6932.0,2383.0,35173.10557950229,0.5248890430548,3.890851568984299,0.001334167978704,0.192925154226189,0.629811897277832,62515.0,2566232.990004299,0.0,-1130118.7837493196,0.309720735490913,1.399884700775146,1,10U,0.0,6932,0.010085877354735,1.0,0.309720735490913,14.267820337225,0.005042938677368,0.000116091584787,232.27415062498608,33.218505,2.145721912384033,0.005042938677368,1,0.047527742385864,0.086266479492188,45.30821485300004,0.100019136633067,1.0,0.047493410110474,1.00003793843,3,0.471447288990021
66,0.010053207783278,6937.0,1808.0,619.4993380027695,0.110087627666423,0.0,0.0,0.617857825997491,0.210197486877441,62520.0,2573115.6677712146,0.0,-1139189.4576560315,0.300170364749928,1.261719226837158,1,10U,0.0,6937,0.010053207783278,1.0,0.300170364749928,16.154303337225002,0.005026603891639,3.2315978315e-05,275.3970497095899,23.78609,1.549611449241638,0.005026603891639,2,0.046208257675171,0.060649909973145,45.356961883000054,0.100000000057681,1.0,0.045622978210449,1.00035906643,3,0.356154382228851
67,0.01001017116553,6966.0,2002.0,55942.06092805899,0.15994754601772,308.01382158659277,0.165341042347073,0.436470010466243,0.323279647827148,62549.0,2563815.23040233,-1.0,-1153061.9580722246,0.303646868443382,1.561203241348267,1,10U,-1.0,6966,0.01001017116553,1.0,0.303646868443382,15.517820377225,0.005005085582765,0.001543418467045,330.1043552561555,26.9685048,1.995011925697327,0.005005085582765,2,0.038798499107361,0.05905975818634,45.255122621000055,0.100000452982413,1.0,0.038690569400787,0.99996819743,3,0.309300780296326
68,0.010035789316671,6968.0,2170.0,29181.837038349728,0.193508344223472,0.0,0.0,0.404868741749841,0.350524406433105,62551.0,2568875.9259691965,-1.0,-1144450.8354898598,0.304809117876977,1.467527031898499,1,10U,-1.0,6968,0.010035789316671,1.0,0.304809117876977,14.966639257225,0.005017894658336,0.001206770390272,351.9951730438322,29.7244104,1.931310296058655,0.005017894658336,2,0.040332956314087,0.063489308357239,45.31202530300004,0.100001464033807,1.0,0.040299959182739,0.999992379094,3,0.383985310792923
69,0.010158837460453,6970.0,1516.0,428.1419490269041,0.002578333211591,0.0,0.0,0.979394517380797,0.015041580200195,62553.0,2580081.7021244094,-1.0,-1144633.1356598474,0.306420098088818,1.591989636421204,1,10U,-1.0,6970,0.010158837460453,1.0,0.306420098088818,17.112308617225,0.005079418730227,0.002494802474976,1.640743059392051,18.996063600000003,1.61713719367981,0.005079418730227,2,0.031938669681549,0.0325,45.41136344000006,0.100000890695162,1.0,0.031756756305695,1.0,2,0.029507333412766
70,0.010009807263887,6987.0,2215.0,113721.57490603063,0.282110468473495,5.198691661234688,0.001210540108186,0.336260958423648,0.442054481506348,62570.0,2571240.7291798834,0.0,-1165984.550544802,0.306269400084257,1.690916895866394,1,10U,0.0,6987,0.010009807263887,1.0,0.306269400084257,14.819001457225,0.005004903631944,0.001177255138755,127.24574120514116,30.4625994,2.279432058334351,0.005004903631944,2,0.043892130851746,0.070540733337402,45.303002168000035,0.100002613559645,1.0,0.043764309883118,1.00001564511,3,0.338022440671921
71,0.010009251169148,7053.0,2082.0,82155.66721245169,0.225269187034767,75.68490667424139,0.027121479540459,0.378378006373711,0.384485969543457,62636.0,2584488.7095988914,-1.0,-1131883.1323588584,0.303496294343488,1.395116448402405,1,10U,-1.0,7053,0.010009251169148,1.0,0.303496294343488,15.255353177225,0.005004625584574,0.000644375383854,299.6866358011075,28.2808408,1.838193774223328,0.005004625584574,2,0.041439800262451,0.065903677940369,45.46810381700004,0.100000563264816,1.0,0.041309866905212,1.000002707,3,0.384204298257828
